epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,25314.1,1.01496,0.69055,1.17668,0.89074,0.84138,0.90925,0.66052,0.96675,0.56974,1.16848,0.003664,0.003664,0.003664
66,25705.5,1.00402,0.68757,1.1729,0.89632,0.84299,0.90953,0.66113,0.97078,0.5685,1.17137,0.003565,0.003565,0.003565
67,26096.4,1.00229,0.67105,1.16557,0.89887,0.84567,0.91007,0.66297,0.96738,0.56926,1.16767,0.003466,0.003466,0.003466
68,26487.8,1.00301,0.66405,1.16412,0.89832,0.84299,0.90952,0.66395,0.96562,0.56911,1.16666,0.003367,0.003367,0.003367
69,26880.1,0.9961,0.67403,1.16634,0.89754,0.8417,0.91048,0.66616,0.96336,0.56913,1.16533,0.003268,0.003268,0.003268
70,27271.3,0.98686,0.66812,1.16342,0.90106,0.84076,0.91106,0.6669,0.9624,0.56652,1.1638,0.003169,0.003169,0.003169
71,27663.3,0.98757,0.66294,1.16108,0.90574,0.83853,0.90949,0.66804,0.96334,0.56765,1.16439,0.00307,0.00307,0.00307
72,28055.2,0.981,0.65483,1.15723,0.90577,0.83806,0.91009,0.66906,0.96163,0.56706,1.16496,0.002971,0.002971,0.002971
73,28446.4,0.96884,0.64986,1.15277,0.90109,0.83868,0.90978,0.67035,0.95874,0.5656,1.1646,0.002872,0.002872,0.002872
74,28839.1,0.97325,0.65065,1.15643,0.89485,0.841,0.91138,0.67051,0.95711,0.56495,1.16467,0.002773,0.002773,0.002773
75,29231.8,0.97313,0.64798,1.15137,0.89383,0.84233,0.91171,0.66949,0.95519,0.56432,1.16441,0.002674,0.002674,0.002674
76,29623.8,0.96588,0.63973,1.14706,0.89501,0.84163,0.91158,0.67041,0.95416,0.56255,1.16321,0.002575,0.002575,0.002575
77,30016.3,0.96222,0.63635,1.14477,0.89512,0.83982,0.91153,0.67007,0.95334,0.56125,1.162,0.002476,0.002476,0.002476
78,30408.4,0.95843,0.6335,1.14135,0.90203,0.83604,0.91104,0.6703,0.95244,0.56253,1.16122,0.002377,0.002377,0.002377
79,388.933,1.01434,0.73425,1.20904,0.90029,0.83987,0.91075,0.66526,0.9681,0.60294,1.1677,0.002278,0.002278,0.002278
80,779.596,0.97339,0.66449,1.17553,0.90413,0.83678,0.90894,0.65933,0.97675,0.62938,1.17679,0.002179,0.002179,0.002179
81,1164.91,0.97582,0.65413,1.16953,0.89864,0.83419,0.90663,0.65709,0.98277,0.63772,1.18426,0.00208,0.00208,0.00208
82,1549.3,0.97125,0.65158,1.16385,0.90193,0.83311,0.90554,0.65565,0.98423,0.64169,1.18721,0.001981,0.001981,0.001981
83,1933.19,0.9625,0.64816,1.15784,0.90369,0.83362,0.90553,0.65544,0.98236,0.64172,1.18726,0.001882,0.001882,0.001882
84,2318.62,0.95119,0.63432,1.14977,0.90107,0.83228,0.90493,0.65584,0.98124,0.64003,1.18742,0.001783,0.001783,0.001783
85,2703.93,0.95212,0.63962,1.15013,0.90172,0.8354,0.90542,0.65442,0.98206,0.6384,1.18914,0.001684,0.001684,0.001684
